date,symbol,open,high,low,close,Volume BTC,Volume USD
2021-09-28 14:00:00,BTC/USD,41991.32,41999.64,41267.17,41541.06,206.68787363,8586033.35973625
2021-09-28 13:00:00,BTC/USD,41831.54,42565.48,41794.69,42018.78,131.74776194,5535880.22444923
2021-09-28 12:00:00,BTC/USD,42097.72,42135.63,41760.97,41838.34,74.351712,3110752.20623808
2021-09-28 11:00:00,BTC/USD,41818.34,42160.35,41732.13,42126.19,97.30317688,4099012.11685049
2021-09-28 10:00:00,BTC/USD,41894.49,41962.44,41632.24,41829.17,121.11705763,5066225.99350507
2021-09-28 09:00:00,BTC/USD,41848.74,42147.5,41667.93,41882.55,137.07455537,5741031.91901179
2021-09-28 08:00:00,BTC/USD,41785.13,42097.37,41529.24,41834.3,157.5445686,6590766.74618298
2021-09-28 07:00:00,BTC/USD,42235.55,42311.93,41673.28,41766.86,90.64526177,3785967.95801094
2021-09-28 06:00:00,BTC/USD,42437.31,42537,41840.4,42206.31,76.05238974,3209890.73760726
2021-09-28 05:00:00,BTC/USD,42658.39,42709.36,42333.8,42446.4,95.08234279,4035903.15500146
2021-09-28 04:00:00,BTC/USD,42587.03,42778.93,42498.14,42668.04,38.93292617,1661191.65113861
2021-09-28 03:00:00,BTC/USD,42449.86,42603.86,42393.57,42562.42,33.8430838,1440443.5467908
2021-09-28 02:00:00,BTC/USD,42498.03,42634.86,42275,42461.28,48.41719998,2055856.28516677
2021-09-28 01:00:00,BTC/USD,42360.4,42565.48,42123.66,42478.72,80.16116811,3405143.81501762
2021-09-28 00:00:00,BTC/USD,42154.87,42450.76,41982.59,42282.49,116.17061347,4911982.80233914
2021-09-27 23:00:00,BTC/USD,43173.15,43250.56,42130,42189.81,211.17125725,8909275.22083862
2021-09-27 22:00:00,BTC/USD,43065.35,43425.8,43014.28,43192.14,62.05677575,2680364.94614261
2021-09-27 21:00:00,BTC/USD,42670.63,43184.49,42619.8,43088.27,132.09286152,5691652.88224637
2021-09-27 20:00:00,BTC/USD,43042.79,43042.79,42599.44,42712.75,229.34791358,9796080.09576415
2021-09-27 19:00:00,BTC/USD,43052.07,43220,42971.02,43057.01,49.64110388,2137397.5061722
2021-09-27 18:00:00,BTC/USD,43054.3,43228.89,42979.24,43052.03,84.43199334,3634968.71023348
2021-09-27 17:00:00,BTC/USD,43096.48,43264.85,42966.36,43082.29,72.13005156,3107527.79902287
2021-09-27 16:00:00,BTC/USD,43324.94,43416.85,42861.14,43085.42,101.71424472,4382400.95374398
2021-09-27 15:00:00,BTC/USD,43207.62,43379.22,43062.21,43312.69,90.19552396,3906610.76866705
2021-09-27 14:00:00,BTC/USD,43496.55,44074.18,43118.57,43217.81,86.60873682,3743039.93222676
2021-09-27 13:00:00,BTC/USD,43604.02,43687.88,43350,43524.04,41.27883879,1796621.83064951
2021-09-27 12:00:00,BTC/USD,43753.35,43849.12,43271.88,43582.6,76.73829679,3344454.49367985
2021-09-27 11:00:00,BTC/USD,43810.52,43879.42,43582.03,43778.19,64.105948,2806442.37167412
2021-09-27 10:00:00,BTC/USD,43575.44,43991.72,43548,43815.01,65.98337857,2891062.39187834
2021-09-27 09:00:00,BTC/USD,43859.48,44126.57,43412.57,43548.47,76.49633156,3331298.20005071
2021-09-27 08:00:00,BTC/USD,43708.88,43911.53,43701.74,43845.57,36.43491866,1597509.77655134
2021-09-27 07:00:00,BTC/USD,43744.69,43949,43690.67,43736.73,52.87512104,2312584.8926438
2021-09-27 06:00:00,BTC/USD,44178.94,44240.05,43694.87,43757.08,38.62796887,1690247.1240821
2021-09-27 05:00:00,BTC/USD,44033.85,44259.21,43999.55,44101.43,32.69003093,1441677.11075723
2021-09-27 04:00:00,BTC/USD,44065.27,44093.05,43926.98,44051.1,18.53739018,816592.428558198
2021-09-27 03:00:00,BTC/USD,44190.99,44249,43872.04,44040.93,27.84597174,1226362.49218332
2021-09-27 02:00:00,BTC/USD,44297.99,44377.7,43987.49,44189.73,54.98926101,2429960.59693143
2021-09-27 01:00:00,BTC/USD,43909.31,44320,43759.11,44300,71.9022301,3185268.79343
2021-09-27 00:00:00,BTC/USD,43162.82,43970.2,42943.25,43948.65,158.75342355,6976998.64790071
2021-09-26 23:00:00,BTC/USD,42959.92,43261.56,42690.49,43204.73,130.57414223,5641420.56002875
2021-09-26 22:00:00,BTC/USD,43590.88,43956.38,42808.03,42983.81,72.57900492,3119722.15747034
2021-09-26 21:00:00,BTC/USD,43677.97,43711.78,43381.65,43590.88,45.98979022,2004735.42670519
2021-09-26 20:00:00,BTC/USD,43312.1,43731.21,43287.02,43631.09,108.1169204,4717259.08449524
2021-09-26 19:00:00,BTC/USD,43226.9,43443,43146.91,43261.11,20.2669867,876772.340997237
2021-09-26 18:00:00,BTC/USD,43155.51,43299.91,43155.51,43219.95,13.18930363,570041.043423418
2021-09-26 17:00:00,BTC/USD,43242.47,43317.32,43123.14,43176.03,19.61972259,847101.731137518
2021-09-26 16:00:00,BTC/USD,43371.23,43561.3,43160.77,43259.51,59.78326757,2586194.86127709
2021-09-26 15:00:00,BTC/USD,43351.84,43437.71,43213.82,43364.67,26.64021618,1155244.18337436
2021-09-26 14:00:00,BTC/USD,43245.79,43423.47,43126.28,43350.81,44.86934064,1945122.26090992
2021-09-26 13:00:00,BTC/USD,43312.42,43366.78,43145.81,43248.02,27.0562785,1170130.47369357
2021-09-26 12:00:00,BTC/USD,43098.66,43499.99,43098.66,43292.11,39.26354834,1699801.8537256
2021-09-26 11:00:00,BTC/USD,43037.19,43360.14,43032.11,43076.24,41.10804009,1770779.80084646
2021-09-26 10:00:00,BTC/USD,43294.9,43511.34,42862.32,43024,119.05322846,5122146.10126304
2021-09-26 09:00:00,BTC/USD,41651.41,43780.58,41550,43284.03,334.3245495,14470913.8302945
2021-09-26 08:00:00,BTC/USD,41282.97,41732,41100.87,41628.84,129.81186084,5403917.18501063
2021-09-26 07:00:00,BTC/USD,41990,42104.67,40808,41275.25,191.77926202,7915736.98469101
2021-09-26 06:00:00,BTC/USD,42089.05,42195.56,41977.81,42011.62,41.62645977,1748795.00980253
2021-09-26 05:00:00,BTC/USD,42255.19,42319.17,42024.81,42103.85,24.03677234,1012040.65708751
2021-09-26 04:00:00,BTC/USD,42194.07,42270.25,41891.4,42246.66,34.92484331,1475457.98087084
2021-09-26 03:00:00,BTC/USD,42056.64,42420.98,41990,42193.68,34.24420432,1444888.9989327
2021-09-26 02:00:00,BTC/USD,42386.97,42429.23,41939.19,42093.7,36.17086188,1522565.40871816
2021-09-26 01:00:00,BTC/USD,42572.65,42642.79,42150.78,42423.81,42.58784036,1806738.44774297
2021-09-26 00:00:00,BTC/USD,42699.1,42770.62,42346.26,42593.55,22.16821761,944223.085182415
2021-09-25 23:00:00,BTC/USD,42758.05,42840.26,42605.91,42722.19,19.48106074,832273.578335821
2021-09-25 22:00:00,BTC/USD,42714.99,42819.95,42601.42,42758.05,39.1191698,1672659.41826689
2021-09-25 21:00:00,BTC/USD,42692.65,42737.99,42418.5,42716.08,15.52566201,663195.420472121
2021-09-25 20:00:00,BTC/USD,42723.22,42836.26,42569.88,42677.23,12.58920494,537272.394741516
2021-09-25 19:00:00,BTC/USD,42631.54,42805.92,42559.81,42666.86,11.74654854,501188.342039384
2021-09-25 18:00:00,BTC/USD,42626.5,42851.16,42480,42614.86,31.50215967,1342460.1240347
2021-09-25 17:00:00,BTC/USD,42634.51,42746.67,42546.24,42655.54,12.83961609,547680.757711639
2021-09-25 16:00:00,BTC/USD,42706.47,42776.41,42387.86,42668.98,36.38546104,1552530.50940654
2021-09-25 15:00:00,BTC/USD,42364.01,42795.42,42275.39,42715.4,34.91239969,1491297.11771823
2021-09-25 14:00:00,BTC/USD,42545.44,42643.45,42193.13,42382.65,39.21968347,1662234.1176198
2021-09-25 13:00:00,BTC/USD,42383.97,42764.67,42286.96,42547.21,20.87647443,888235.74163284
2021-09-25 12:00:00,BTC/USD,42532.26,42647.04,42335.76,42387.4,28.39327706,1203517.19205304
2021-09-25 11:00:00,BTC/USD,42698.66,42698.66,42265.12,42525.62,61.09328989,2598030.03041198
2021-09-25 10:00:00,BTC/USD,42688.18,43010.69,42649.71,42701.56,36.85713255,1573857.05701178
2021-09-25 09:00:00,BTC/USD,42738.4,42929.29,42461.02,42688.18,58.08032006,2479343.15717889
2021-09-25 08:00:00,BTC/USD,42386.77,42814.84,41689.6,42680.9,135.41553233,5779656.7938235
2021-09-25 07:00:00,BTC/USD,42783.59,42823.1,42255.1,42377,29.35282712,1243884.75486424
2021-09-25 06:00:00,BTC/USD,42533.17,42841.23,42488.43,42773.12,14.24359658,609243.06574793
2021-09-25 05:00:00,BTC/USD,42781.28,42889.47,42445,42499.67,40.96520038,1741007.49763387
2021-09-25 04:00:00,BTC/USD,42681.68,42888,42669.63,42737.31,32.66676584,1396089.69840149
2021-09-25 03:00:00,BTC/USD,42437.25,42800,42380.21,42657.95,14.81812421,632110.801643969
2021-09-25 02:00:00,BTC/USD,42435.59,42768.05,42321.75,42377.11,33.74244114,1429907.13985831
2021-09-25 01:00:00,BTC/USD,42763.18,42818.17,42040.9,42427.17,82.11333657,3483836.48992261
2021-09-25 00:00:00,BTC/USD,42835.88,42974.94,42601.53,42786.2,37.25748967,1594106.40451855
2021-09-24 23:00:00,BTC/USD,43056.38,43067.49,42550.23,42848.5,38.42330707,1646381.0729889
2021-09-24 22:00:00,BTC/USD,42965.07,43124.82,42793.22,43043.52,52.30589146,2251429.68517634
2021-09-24 21:00:00,BTC/USD,42970.37,43257,42893.35,42975.53,110.65814433,4755592.40139824
2021-09-24 20:00:00,BTC/USD,42416.81,43041.24,42330.36,42969,64.19032775,2758194.19308975
2021-09-24 19:00:00,BTC/USD,42165.84,42563.36,42165.84,42418.01,85.80477308,3639667.72255517
2021-09-24 18:00:00,BTC/USD,42025.61,42368.44,41970,42190.01,89.32553685,3768645.29295687
